Forecast_Task,Accuracy,Precision,Recall,F1-Score,ROC-AUC,Num_Samples,True_Up_Pct
Y_DGS5_t+2,0.5949367088607594,0.8888888888888888,0.20512820512820512,0.3333333333333333,0.5987179487179488,79,0.4936708860759494
Y_DGS5_t+3,0.5443037974683544,0.5,0.08333333333333333,0.14285714285714285,0.4580103359173127,79,0.45569620253164556
Y_DGS5_t+4,0.46835443037974683,0.3333333333333333,0.07692307692307693,0.125,0.4717948717948718,79,0.4936708860759494
Y_DGS6MO_t+1,0.6708860759493671,0.8095238095238095,0.4358974358974359,0.5666666666666667,0.7006410256410256,79,0.4936708860759494
Y_DGS6MO_t+2,0.620253164556962,0.6521739130434783,0.40540540540540543,0.5,0.5637065637065638,79,0.46835443037974683
Y_DGS6MO_t+3,0.5949367088607594,0.6521739130434783,0.38461538461538464,0.4838709677419355,0.6147435897435898,79,0.4936708860759494
Y_DGS6MO_t+4,0.7088607594936709,0.76,0.5277777777777778,0.6229508196721312,0.6944444444444443,79,0.45569620253164556
Y_DGS7_t+1,0.45569620253164556,0.3333333333333333,0.04878048780487805,0.0851063829787234,0.36906290115532736,79,0.5189873417721519
Y_DGS7_t+2,0.5443037974683544,0.8571428571428571,0.14634146341463414,0.25,0.5263157894736842,79,0.5189873417721519
Y_DGS7_t+3,0.5316455696202531,0.42857142857142855,0.08333333333333333,0.13953488372093023,0.4677002583979328,79,0.45569620253164556
Y_DGS7_t+4,0.5316455696202531,0.6666666666666666,0.10256410256410256,0.17777777777777778,0.5487179487179488,79,0.4936708860759494
