Forecast_Task,Accuracy,Precision,Recall,F1-Score,ROC-AUC,Num_Samples,True_Up_Pct
Y_DGS3MO_t+2,0.6075949367088608,0.5555555555555556,0.30303030303030304,0.39215686274509803,0.48221343873517786,79,0.4177215189873418
Y_DGS3MO_t+3,0.6075949367088608,0.64,0.42105263157894735,0.5079365079365079,0.5802310654685494,79,0.4810126582278481
Y_DGS3MO_t+4,0.569620253164557,0.42857142857142855,0.4,0.41379310344827586,0.5843537414965987,79,0.379746835443038
Y_DGS3_t+1,0.5569620253164557,0.6190476190476191,0.325,0.4262295081967213,0.5051282051282051,79,0.5063291139240507
Y_DGS3_t+2,0.43037974683544306,0.4,0.25,0.3076923076923077,0.507051282051282,79,0.5063291139240507
Y_DGS3_t+3,0.5063291139240507,0.38095238095238093,0.23529411764705882,0.2909090909090909,0.38366013071895433,79,0.43037974683544306
Y_DGS3_t+4,0.45569620253164556,0.45454545454545453,0.24390243902439024,0.31746031746031744,0.4525032092426188,79,0.5189873417721519
Y_DGS5_t+1,0.45569620253164556,0.4666666666666667,0.16666666666666666,0.24561403508771928,0.3841698841698842,79,0.5316455696202531
Y_DGS5_t+2,0.5316455696202531,0.5714285714285714,0.20512820512820512,0.3018867924528302,0.576923076923077,79,0.4936708860759494
Y_DGS5_t+3,0.4936708860759494,0.25,0.05555555555555555,0.09090909090909091,0.40568475452196384,79,0.45569620253164556
Y_DGS5_t+4,0.4936708860759494,0.47619047619047616,0.2564102564102564,0.3333333333333333,0.41217948717948727,79,0.4936708860759494
Y_DGS6MO_t+1,0.6075949367088608,0.6818181818181818,0.38461538461538464,0.4918032786885246,0.6942307692307692,79,0.4936708860759494
Y_DGS6MO_t+2,0.5822784810126582,0.5714285714285714,0.43243243243243246,0.49230769230769234,0.5862290862290862,79,0.46835443037974683
Y_DGS6MO_t+3,0.5569620253164557,0.5833333333333334,0.358974358974359,0.4444444444444444,0.5435897435897437,79,0.4936708860759494
Y_DGS6MO_t+4,0.6329113924050633,0.64,0.4444444444444444,0.5245901639344263,0.601421188630491,79,0.45569620253164556
Y_DGS7_t+1,0.3670886075949367,0.15384615384615385,0.04878048780487805,0.07407407407407407,0.36906290115532736,79,0.5189873417721519
Y_DGS7_t+2,0.4430379746835443,0.4117647058823529,0.17073170731707318,0.2413793103448276,0.5365853658536586,79,0.5189873417721519
Y_DGS7_t+3,0.45569620253164556,0.26666666666666666,0.1111111111111111,0.1568627450980392,0.4050387596899225,79,0.45569620253164556
Y_DGS7_t+4,0.4810126582278481,0.4,0.10256410256410256,0.16326530612244897,0.33974358974358976,79,0.4936708860759494
