Forecast_Task,Accuracy,Precision,Recall,F1-Score,ROC-AUC,Num_Samples,True_Up_Pct
Y_DGS30_t+4,0.5822784810126582,0.75,0.08571428571428572,0.15384615384615385,0.675974025974026,79,0.4430379746835443
Y_DGS3MO_t+1,0.6329113924050633,0.7037037037037037,0.475,0.5671641791044776,0.7000000000000001,79,0.5063291139240507
Y_DGS3MO_t+2,0.620253164556962,0.56,0.42424242424242425,0.4827586206896552,0.5303030303030304,79,0.4177215189873418
Y_DGS3MO_t+3,0.6329113924050633,0.68,0.4473684210526316,0.5396825396825397,0.6225930680359435,79,0.4810126582278481
Y_DGS3MO_t+4,0.6962025316455697,0.6071428571428571,0.5666666666666667,0.5862068965517241,0.6659863945578232,79,0.379746835443038
Y_DGS3_t+1,0.5443037974683544,0.5833333333333334,0.35,0.4375,0.47564102564102567,79,0.5063291139240507
Y_DGS3_t+2,0.5822784810126582,0.6666666666666666,0.35,0.45901639344262296,0.48269230769230764,79,0.5063291139240507
Y_DGS3_t+3,0.5189873417721519,0.4166666666666667,0.29411764705882354,0.3448275862068966,0.42287581699346405,79,0.43037974683544306
Y_DGS3_t+4,0.569620253164557,0.6521739130434783,0.36585365853658536,0.46875,0.5718870346598203,79,0.5189873417721519
Y_DGS5_t+1,0.4936708860759494,0.625,0.11904761904761904,0.2,0.4646074646074646,79,0.5316455696202531
Y_DGS5_t+2,0.5316455696202531,0.75,0.07692307692307693,0.13953488372093023,0.5217948717948718,79,0.4936708860759494
Y_DGS5_t+3,0.4810126582278481,0.14285714285714285,0.027777777777777776,0.046511627906976744,0.42764857881136953,79,0.45569620253164556
Y_DGS5_t+4,0.46835443037974683,0.2857142857142857,0.05128205128205128,0.08695652173913043,0.5410256410256411,79,0.4936708860759494
Y_DGS6MO_t+1,0.6582278481012658,0.7142857142857143,0.5128205128205128,0.5970149253731343,0.7019230769230769,79,0.4936708860759494
Y_DGS6MO_t+2,0.620253164556962,0.6206896551724138,0.4864864864864865,0.5454545454545454,0.6119691119691121,79,0.46835443037974683
Y_DGS6MO_t+3,0.6582278481012658,0.7142857142857143,0.5128205128205128,0.5970149253731343,0.6262820512820514,79,0.4936708860759494
Y_DGS6MO_t+4,0.6329113924050633,0.6206896551724138,0.5,0.5538461538461539,0.7189922480620154,79,0.45569620253164556
Y_DGS7_t+1,0.5063291139240507,0.625,0.12195121951219512,0.20408163265306123,0.5468549422336328,79,0.5189873417721519
Y_DGS7_t+2,0.5189873417721519,0.8,0.0975609756097561,0.17391304347826086,0.5962772785622593,79,0.5189873417721519
Y_DGS7_t+3,0.4810126582278481,0.14285714285714285,0.027777777777777776,0.046511627906976744,0.437984496124031,79,0.45569620253164556
Y_DGS7_t+4,0.4936708860759494,0.4,0.05128205128205128,0.09090909090909091,0.5788461538461538,79,0.4936708860759494
